No,NOPOSHUJAN,WMOID,Nama,PULAU,PROV,LAT,LON
102,35180102a,96975,Stasiun Geofisika Nganjuk,JAWA,Jawa Timur,-7.73486,111.76682
103,35101702a,96987,Stasiun Meteorologi Banyuwangi,JAWA,Jawa Timur,-8.215,114.3553
104,71030802a,97008,Stasiun Meteorologi Naha,SULAWESI,Sulawesi Utara,3.68594,125.52881
105,71710901a,97010,Stasiun Geofisika Winangun,SULAWESI,Sulawesi Utara,1.4434,124.8389
106,71060904a,97012,Stasiun Klimatologi Minahasa Utara,SULAWESI,Sulawesi Utara,1.54585,124.9233
107,71710805a,97014,Stasiun Meteorologi Sam Ratulangi,SULAWESI,Sulawesi Utara,1.54575,124.9234
108,71720201a,97016,Stasiun Meteorologi Maritim Bitung,SULAWESI,Sulawesi Utara,1.4431,125.1797
109,72040801a,97028,Stasiun Meteorologi Sultan Bantilan,SULAWESI,Sulawesi Tengah,1.12114,120.79433
110,75010401a,97048,Stasiun Meteorologi Djalaluddin,SULAWESI,Gorontalo,0.6385,122.8525
111,75030603a,97052,Stasiun Klimatologi Bone Bolango,SULAWESI,Gorontalo,0.556,123.14
112,72710301a,97072,Stasiun Meteorologi Mutiara Sis-Al Jufri,SULAWESI,Sulawesi Tengah,-0.91589,119.90554
113,72710201a,97074,Stasiun Geofisika Palu,SULAWESI,Sulawesi Tengah,-0.90536,119.8367
114,72010402a,97086,Stasiun Meteorologi Syukuran Aminudin Amir,SULAWESI,Sulawesi Tengah,-1.04064,122.771
115,72020201a,97096,Stasiun Meteorologi Kasiguncu,SULAWESI,Sulawesi Tengah,-1.42038,120.65701
116,76050804a,97120,Stasiun Meteorologi Majene,SULAWESI,Sulawesi Barat,-3.55074,118.98054
117,73180901a,97124,Stasiun Meteorologi Pongtiku,SULAWESI,Sulawesi Selatan,-3.04524,119.81885
118,73220302a,97126,Stasiun Meteorologi Andi Jemma,SULAWESI,Sulawesi Selatan,-2.55472,120.32422
